[00:00:00] 今天,咱們來說一下折扮插著的平日套長度
[00:00:03] 求折的平日套長度,其實就是所有元素需要的比較次數
[00:00:07] 加起來,然後求平均
[00:00:08] 但是折扮插著,它不像順去套,能夠直觀地看出來,每個元素需要比較多少次
[00:00:14] 所以呢,咱們一般會先化派領數,咱們來看一下這個派領數該怎麼化
[00:00:19] 咱們來模擬折扮的過程,那最初是,就是取中間點36
[00:00:24] 咱們就像36,作為整顆數的跟
[00:00:26] 注意節點的折扮,它既可以停36,也可以停下標6
[00:00:31] 一般來說,如果數組的元素不重複,天元素的質疚可以啦
[00:00:35] 然後咱們是不是既可以往左邊找,也可能往右邊找
[00:00:38] 比如說咱往左邊找,那下一個中間點就是下標1,下下邊5、2等於3,下邊3那個位置是20
[00:00:48] 咱們就把20呢,作為36的左孩子,然後咱們在看20的左邊
[00:00:54] 那,取中間點的話,是下標1,下下邊2,處於20,1.5
[00:00:59] 咱們下取著,是下標1,咱們就同時,把下標1對內元素做為20的左孩子
[00:01:07] 然後咱們發現,5沒有左邊了,咱們看5的右邊
[00:01:11] 右邊只有16一個元素,那取中間的話也一定是它,直接把16放到5的右孩子就可以了
[00:01:19] 然後這樣20的左邊是不是就搞定了,然後咱們在在20的右邊
[00:01:24] 那20的右邊,咱們取中間位置的話,是下標4,下邊5,處於20,4.25,咱們下取著的話,就下標4,對吧
[00:01:33] 那下標4對內元素是27,咱們把270放到20的右孩子上
[00:01:38] 再繼續看270的左右,發現270沒有左邊,咱們就看270的右邊,咱們會發現270的右邊只有30的一個元素
[00:01:49] 那咱們就把它作為27的右孩子就可以了
[00:01:52] 那到這裡,咱們20的左右區先就都搞定了,對吧
[00:01:56] 也就是36的左子數就都搞定了,咱們就看36的右邊
[00:02:01] 那36右邊這個範圍的話,咱們取中間點是下標7,下標11,處於20,下標9
[00:02:08] 咱們就把下標9對內元素60,左於36的右孩子
[00:02:13] 然後咱們再看6時的左邊,那6時左邊這個範圍,咱們取中間點是7,加8,處於20,是7.5,咱們下去著,就是下標7
[00:02:23] 咱們就把下標7對內元素44,放到6時的左孩子上蠻
[00:02:29] 那44是不是就沒有左邊,然後咱們再看44的右邊,44的右邊是不只有55的一個元素,咱們就直接放到44的右孩子上就可以了
[00:02:40] 那這樣6時的左子數就搞定了,咱們再看6時的右子數
[00:02:44] 那右邊的話,咱們取中間點是,下標10,下標11,處於20,是10.5,我們下去著,下標10
