[00:00:11] 之前讲到二差搜索
[00:00:13] 在一般情况下可以均义漏稳的小律高校的差道
[00:00:17] 插入和深处数据
[00:00:19] 但是当数据本来就无学的时候
[00:00:21] 那购家二差搜就会变成一条线的状态
[00:00:24] 就类似于练表
[00:00:26] 这个时候效率就会退化成欧文
[00:00:29] 那如何避免这种情况呢
[00:00:31] 平和二差搜给出了谈
[00:00:34] 平和二差搜也叫AVA有数
[00:00:36] 他首先是一颗二差搜索
[00:00:39] 在这个基础上他保证所有的节点
[00:00:42] 左指数的高度
[00:00:43] 渐渐有指数的高度
[00:00:44] 的绝对值都小一点而已
[00:00:46] 这样能尽可能让数保持均衡
[00:00:49] 不会出现一边导的状态
[00:00:51] 其中左指数和右指数高度的差值
[00:00:54] 又被称入平和阴子的
[00:00:57] 比如说我们来看一下
[00:00:58] 跟尽点十的平和阴子
[00:01:00] 咱们可以看到左指数高度是二
[00:01:02] 右指数的高度也是二
[00:01:04] 那么十的平和阴子就是二加二得领了
[00:01:08] 在比如说节点十七
[00:01:10] 他的左指数高度是零
[00:01:11] 右指数高度是一
[00:01:13] 那么节点十七的平和阴子就是零剪一的副一楼
[00:01:17] 那么通过观察发现其他节点的平和阴子的绝内值
[00:01:21] 也都小一点而已
[00:01:22] 那么这颗数就是一颗平和二差搜
[00:01:26] 咱们再来看一颗数
[00:01:27] 咱们看一下节点十的平和阴子
[00:01:30] 那左指数的高度是零
[00:01:32] 右指数的高度是二
[00:01:34] 所以节点十的平和阴子就说
[00:01:37] 那么这个时候咱们会发现它的绝对值超过一了
[00:01:40] 那咱们把这种情况呢
[00:01:42] 叫做施恨
[00:01:43] 也就是说平和阴子
[00:01:45] 它只能是副一零和一这三个曲持
[00:01:49] 它是平衡状态
[00:01:50] 如果是其他曲持了玩的就施恨了
[00:01:53] 那每次发生施恨的时候
[00:01:55] 平和二差数就会通过一些神奇的选转操作
[00:01:58] 给它调整平衡
[00:01:59] 那大家要注意
[00:02:00] 平和二差数呢
[00:02:01] 它也是二差数所数
[00:02:03] 在的差者插入山处的过程
[00:02:05] 和二差数有数都是一样的
[00:02:07] 只是每次插入或者山处以后
[00:02:09] 需要检查一下是否存在施恨
[00:02:11] 如果施恨了
[00:02:12] 就需要进行调整
[00:02:13] 如果小伙伴们呢
[00:02:14] 还有不了解二差数所数
[00:02:15] 和一先去看我之前
[00:02:17] 检查杀数了数的施恨
[00:02:19] 那么当发生施恨的时候
[00:02:20] AWN数是怎么进行调整的呢
[00:02:23] 用两个基本的旋转操作
[00:02:25] 左旋和右旋
[00:02:27] 咱们先看左旋
[00:02:28] 咱们会发现平衡上的节点四
[00:02:30] 平和阴子是富二
[00:02:32] 施恨了
[00:02:33] 此时呢
[00:02:33] 咱们可以将这个施恨节点左旋
[00:02:36] 也就向左旋转或者说历史的旋转
[00:02:39] 这个时候呢
[00:02:39] 咱们就会发现这颗树平衡了
[00:02:41] 能和调整之前的树心队比
[00:02:44] 咱们发现他俩的终许
[00:02:45] 便利是一样的
[00:02:46] 也就说在二差数所数的一生
[00:02:48] 他俩是等价的
[00:02:50] 但是树高却降低了
[00:02:52] 便了更加均衡了
[00:02:53] 咱们再来看一个复打点了
[00:02:55] 咱们发现节点五的平和阴子是富二
