[00:00:11] 咱们今天来说一下逼书的山厨
[00:00:14] 如果还有没看插入和勾键操作的小伙伴
[00:00:17] 可以先去看我上一期视频
[00:00:20] 咱们这里以屏幕上五阶逼书为例
[00:00:23] 不管是几阶
[00:00:25] 咱们的山厨操作都是一样的
[00:00:27] 那之前的插入操作是比较容易导致生意出的情况
[00:00:32] 就是可能会操出点点元素各书的上线
[00:00:35] 咱们今天的山厨操作的反过来了
[00:00:39] 它比较容易出现下一出的情况
[00:00:42] 因为山厨会少一个元素
[00:00:44] 所以可能会低于节点元素各书的下线
[00:00:47] 咱们简单复极一下
[00:00:49] MJB书跟点点最少用两个分支
[00:00:52] 也就是最少有一个元素
[00:00:54] FIGN的其他节点呢
[00:00:56] 最少最少也得有一半个分支数
[00:00:59] 初一二如果不透震
[00:01:01] 咱们需要上去人
[00:01:03] 同样元素各书是比分支数少一个的
[00:01:07] 那么现在这个五节逼书的FIGN节点
[00:01:09] 它最少也得有5初一二上级整
[00:01:13] 也就是三个分支对吧
[00:01:14] 那节点内呢
[00:01:16] 最少就得有两个元素
[00:01:18] 所以咱们待会儿山厨之后
[00:01:19] 如果低于两个元素了
[00:01:21] 咱们就需要做一些调整了
[00:01:24] 咱们结合一个例子来说一下
[00:01:25] 比如说屏幕上面这个训练
[00:01:28] 咱们一次对每个书进一山厨
[00:01:30] 咱们先山厨四如五
[00:01:33] 那么需要先按照上级和讲的查照方法
[00:01:36] 先找到四书的位置
[00:01:38] 那这个书能不能直接山掉呢
[00:01:40] 那这里主意还
[00:01:41] 如果咱们山厨的是非夜节点上的元素
[00:01:44] 也就是屏幕上面南昔里面所有的元素
[00:01:47] 咱们都需要按照类似于二差搜索数
[00:01:50] 左右子书都有的情况
[00:01:51] 也就是用它的直接前区或者后继续替换单
[00:01:55] 比如说四书五的直接前区是四十四
[00:01:58] 也就是它左子的书中最大的
[00:02:00] 那直接后继是四十六
[00:02:02] 也就是它右子书中最小的
[00:02:04] 咱会发现它不管是前区还是后继
[00:02:08] 都一定落在了一夜子节点上
[00:02:10] 那这两个咱们选一个去替换那个四十五
[00:02:14] 比如说咱们用直接后继四十六
[00:02:17] 拿它去替换要山厨的元素四十五
[00:02:20] 然后山厨掉原来的四十六就可以了
[00:02:23] 也就是说山厨非夜节点的元素
[00:02:27] 最终都会装温到山厨夜节点上的元素
[00:02:30] 那么一夜节点上的元素
[00:02:32] 咱们直接山掉就可以了
[00:02:33] 所以说咱们直接山掉那个四十六
[00:02:36] 那山厨后发现这个节点
[00:02:38] 它并没有出现下一书的情况
[00:02:40] 也就是没有低于元素各书的线的线
[00:02:44] 咱母接逼书最少有两个节点对吧
[00:02:46] 所以说不需要做任何调整的
[00:02:49] 那么第一个书就山厨完毕了
[00:02:52] 那山厨之后如果出现下一书该怎么办呢
[00:02:56] 怎么继续看
[00:02:57] 山厨下一个书六十八
[00:02:59] 那还是先找到六十八的位置
[00:03:02] 怎么会发现六十八呢
[00:03:04] 它直接就在夜子的点上
[00:03:06] 那么咱们直接山掉它
[00:03:08] 山厨之后发现出现了下一书
[00:03:11] 少于两个元素了对吧
[00:03:13] 那这个时候咱们要尝试和左右兄弟
[00:03:16] 接一个元素过来
[00:03:18] 那当然要先看看兄弟够够减
[00:03:20] 咱们会发现
[00:03:22] 现在它的左右兄弟都有三个元素
[00:03:25] 那也就是说都可以建立它一个
[00:03:27] 那咱们随便选一个兄弟借
[00:03:30] 那左右都可以
[00:03:32] 当然有时候可能只有左兄弟
[00:03:34] 或者只有右兄弟够借
[00:03:36] 那就找那个够借的去借就可以了
[00:03:38] 那比如说咱们可以找它的左兄弟借
[00:03:41] 那怎么借呢
[00:03:42] 直接拿过来一个树行不行呢
[00:03:44] 那肯定不行
[00:03:46] 咱们那保证借完之后
[00:03:47] 逼树有需的性质不能被破坏啊
[00:03:50] 所以说左兄弟的元素要想借过来
[00:03:53] 那它俩的父亲元素也就是65
[00:03:55] 也得跟着动一下
[00:03:57] 居体怎么动呢
[00:03:58] 咱们可以先把父亲元素65下移到
[00:04:02] 下移出的借点当中
[00:04:04] 然后再把兄弟兼顿的最后一个元素60
[00:04:07] 挪上去
[00:04:08] 那这样就调整好了
[00:04:10] 那简单的说就是父下来胸上去
[00:04:13] 当然咱们也可以和它的右兄弟去借一个元素对吧
[00:04:18] 因为右兄弟的元素也够嘛
[00:04:20] 那同样还是父下来胸上去
[00:04:23] 那这料主意
[00:04:24] 这个右兄弟呢
[00:04:25] 它要挪动第一个元素
[00:04:26] 因为这保证有序行嘛
[00:04:28] 咱们先让父亲元素74下移到下移出的借点当中
[00:04:33] 再将元素76上移
[00:04:36] 那这样就OK了
[00:04:38] 也就是说如果左右兄弟都够借
[00:04:40] 那既可以和它的左兄弟借
[00:04:42] 也可以和它的右兄弟借
[00:04:43] 那就两种挑战方法了
[00:04:45] 都是可以的
[00:04:46] 当然也有时候可能只有左兄弟
[00:04:49] 或者只有右兄弟够借
[00:04:50] 那就借那个购借的就可以了
[00:04:53] 那68呢就删出完毕了
[00:04:55] 那有没有可能左兄弟都不够借呢
[00:04:58] 当然有可能咱们继续删下一个数86含
[00:05:01] 那同样先找到
[00:05:02] 当然留的位置会发现它在一夜子的一点上
[00:05:05] 那么直接删出之后呢
[00:05:07] 发现这个借点出现了下移出
[00:05:09] 会发现少于两个元素了对吧
[00:05:12] 那同样咱们需要先看它的左兄弟够不够借
[00:05:16] 会发现了左右兄弟都只有两个元素了
[00:05:19] 再借它们就下一出了
[00:05:21] 那么当左兄弟都不够借的时候
[00:05:23] 咱们就需要将它和其中一个兄弟进行核病
[00:05:27] 那这里呢我们既可以拿它和左兄弟核病
[00:05:31] 也可以和右兄弟核病
[00:05:33] 那比如说咱们和左兄弟核病
[00:05:35] 咱们可以直接把它来并起来吗
[00:05:38] 当然不行了
[00:05:39] 还得考虑到它俩的附近元素76
[00:05:41] 这个核病操作呢
[00:05:42] 简单的说就是附近元素先线了一道左边的简点
[00:05:46] 也就这个76先下移到巴人身的左兄弟中
[00:05:50] 然后右边的截点在核病过来
[00:05:53] 也就让这个巴人三呢核病过来
[00:05:55] 然后移除掉空的富园素和子书就调整好了
[00:06:00] 当然咱们也可以把巴人三和它的右兄弟进行核病
[00:06:04] 同样先把父亲元素90下移到左边的截点
[00:06:08] 然后再把右边的截点并过来就可以了
[00:06:11] OK 这样就调整好了
[00:06:14] 那总结一下就是当左右兄弟都不够戒的时候
