[00:00:00] 最近有一个开业项目实在是太火了
[00:00:02] 整个硅谷都为之疯狂
[00:00:04] 有人说Cowork和他比起来就是个弟弟
[00:00:07] 也有人说靠他拉高了一季度Mac mini的销量
[00:00:11] 那他就是Cloudbot
[00:00:13] 一个可以7成24小时待命
[00:00:15] 并且可以使用聊天工具去操控的AI Agent
[00:00:18] 我知道很多人都对他非常的感兴趣
[00:00:20] 那刚好Mac mini咱们也有
[00:00:22] 今天我们就来聊一聊
[00:00:24] 如何玩转Cloudbot
[00:00:25] 以及它的效果如何
[00:00:27] 那在开始技术内容之前
[00:00:29] 我想先聊一聊作者的故事
[00:00:31] 因为实在有点传奇
[00:00:32] 作者Peters Deberger
[00:00:34] 对 就是这哥们
[00:00:36] 你以为他是又一个
[00:00:37] 几斤AI创业圈的投机者吗
[00:00:39] 我告诉你
[00:00:40] 人家早就已经实现了财富自由
[00:00:42] 他在15年前开始创业
[00:00:44] 2021年退出套现
[00:00:46] 小小的赚了一个亿还是欧元
[00:00:48] 有这么多钱要是我的话
[00:00:50] 那肯定就是豪宅跑车 泳池嫩膜
[00:00:53] 可是人家才过了4年的清闲日子
[00:00:55] 就觉得腐化的生活太让人空虚了
[00:00:58] 转回头来就开始全职写代码了
[00:01:00] 不是哥们 这写代码也这么上瘾吗
[00:01:03] 还是说快到马年了
[00:01:04] 想体验一下牛马精神
[00:01:06] 总之不到一年
[00:01:07] 人家就捣乱出了Cloudbot
[00:01:09] 一款运行在你自己设备上的
[00:01:11] 个人AI助手
[00:01:12] 你可以通过你熟悉的工具
[00:01:14] 来去让它工作
[00:01:15] 比如像WhatsApp Telegram
[00:01:16] 或者是iMessage
[00:01:18] 而且不到一个月
[00:01:19] 就已经超过了40K的Star
[00:01:21] 现在还在飞速的增长
[00:01:23] 整个AI圈都在为它疯狂
[00:01:25] 那接下来我们就进入技术的部分
[00:01:27] 来看一下如何安装和使用它
[00:01:30] 项目的安装还是非常容易的
[00:01:32] 虽然默认是推荐Mac
[00:01:34] 但是你肯定想知道
[00:01:35] 是不是必须得买一个Mac mini
[00:01:37] 当然不是
[00:01:38] 实际上不仅只有Mac
[00:01:40] 你也可以在Linux或者是Windows上
[00:01:42] 使用WSL来去安装
[00:01:44] 网上也有人在树莓派的设备上
[00:01:46] 成功安装运行了
[00:01:47] 其实这个也很正常
[00:01:49] 因为如果不在本地运行大模型的话
[00:01:51] 那它本身的运行
[00:01:52] 并不需要消耗很多资源
[00:01:54] 那我肯定是要选择在Mac上去运行了
[00:01:56] 这里推荐使用它的一键安装脚本
[00:01:58] 会自动的去下载相关的内容
[00:02:01] 执行之后稍作等待
[00:02:03] 它会自动的进入到onboard的配置过程
[00:02:06] 开始让我去配置一些具体内容
[00:02:08] 第一次使用的话
[00:02:09] 推荐使用Quickstart模式
[00:02:11] 然后选择一个大模型的供应商
[00:02:13] 基本上常见的都支持
[00:02:15] 它对国内用户来说也很友好
[00:02:17] 像什么千温、minimax、质朴、Kimi都有
[00:02:20] 那我这里有Codex的订阅
[00:02:22] 就选择OpenAI
[00:02:24] 然后选Codex CLI的OAuth
[00:02:27] 直接验证就可以了
[00:02:29] 再接下来就是选择Channel
[00:02:31] 这个也就是让你通过聊天工具
[00:02:33] 去使用Cloudbot
[00:02:35] 比如我这里选择iMessage
[00:02:37] 因为我觉得可能国内普通的用户来说
[00:02:39] 其他的工具对他们更麻烦
[00:02:41] 那选择iMessage之后
[00:02:43] 还有一些需要补充的配置
[00:02:45] 这个我们稍后再来说
[00:02:47] 然后会有一些常用的工具
[00:02:48] 让我们去选择和安装
[00:02:50] 我们随便选几个就好了
[00:02:52] 最后还有一些基本的配置
[00:02:53] 我们就正常选择
[00:02:55] 最后一步是让我们去选择使用的一个方式
[00:02:58] 那就选择默认的TY
[00:03:00] 第一次进入
[00:03:01] 它会让我们去给它起一个名字
[00:03:03] 还有就是告诉它我是谁
[00:03:05] 这个有点像玩游戏
[00:03:06] 我就告诉它
[00:03:07] 你就叫我馆长大人就好了
[00:03:09] 然后你既然是一个小机器人
[00:03:11] 那我就叫你小鸡吧
[00:03:13] 接下来我们就可以直接在终端里使用它了
[00:03:16] 这个时候的感觉就和Cloud Code差不多
[00:03:19] 但同时它也自带了WebUI
[00:03:21] 你可以打开来去使用
[00:03:22] 这里也带了Chat对话
[00:03:23] 还可以查看各种配置
[00:03:25] 如果你不习惯使用TY的话
[00:03:27] 可以换成这种方式
[00:03:28] 但是仅仅这么用的话
[00:03:30] 就显示不出它的特点了
[00:03:31] 所以我们要把前面的iMessage配置给它完成
[00:03:35] 要使用iMessage的话
[00:03:36] 需要安装一个CLI的工具
[00:03:38] 可以通过Brawl来去安装
[00:03:40] 你也可以让Cloudbot自己去安装和配置
[00:03:43] 它会自己完成以后并且重启
[00:03:45] 非常的方便
[00:03:45] 然后我再问一下它
[00:03:47] 还需要什么去做配置
[00:03:48] 它会告诉我一些内容需要我自己去完成的
[00:03:51] 就是在Mac里的一些系统配置
[00:03:53] 这里需要进入到隐私与安全里
[00:03:56] 打开这个完全磁盘访问权限
[00:03:58] 我这里把Node和终端的权限都授权一下
[00:04:01] 然后我再让它去发一条测试信息给我
[00:04:04] 第一次执行的时候会有一个弹窗
[00:04:07] 记得允许一下
[00:04:08] 到这里配置就已经OK了
[00:04:10] 但是还有一个小的提醒
[00:04:12] 也是我个人的一个小经验
[00:04:14] 不要用同一个iMessage账号
[00:04:16] 它自己给自己发的消息会默认被忽略掉
[00:04:19] 所以需要给运行Cloud的机器
[00:04:21] 单独去配置一个iMessage账号
[00:04:24] 配置好了以后
[00:04:25] 接下来我们就来看两个实际使用的例子
[00:04:28] 首先我们先来一个开发的
[00:04:30] 这里比如我有个项目
[00:04:31] 我就可以直接发消息告诉它
[00:04:33] 去帮我实现一个什么功能
[00:04:35] 比如帮我去完成一个商品详情的功能
