[00:00:00] Clothbolt一夜爆火
[00:00:01] 这是一个运行在本地电脑的开源AA助理
[00:00:04] 短短几天内
[00:00:05] Github Star数量直线拉升
[00:00:07] 已经超过了12万
[00:00:08] 本期视频我们带来一个
[00:00:10] Clothbolt的全面攻略
[00:00:11] 看看Clothbolt
[00:00:12] 比起其他的AA震头有什么特色
[00:00:15] 我准备了十几个案例的玩法大权
[00:00:17] 还会介绍一个接触飞书
[00:00:19] 加国产模型的方案
[00:00:20] 让Clothbolt在国内网络也能顺畅使用
[00:00:23] 视频开始之前先插入一个小插曲
[00:00:26] 由于Clothbolt收到安斯尔培克
[00:00:28] 法务团队的压力
[00:00:29] Clothbolt先是改名成了
[00:00:31] Maltbolt现在又改名成了OpenCloth
[00:00:34] 爬巴瞎做视频的速度
[00:00:35] 还赶不上它改名的速度
[00:00:37] 所以本期视频
[00:00:38] 我们还是统一叫它最开始的名字
[00:00:40] Clothbolt
[00:00:41] Clothbolt功能跟Clothcode和Opencode
[00:00:44] 都有点像
[00:00:44] 都可以处理文件
[00:00:46] 编码
[00:00:46] 调用Skills
[00:00:47] MCP等等
[00:00:48] 帮我们处理工作
[00:00:49] Clothbolt的最大优势
[00:00:51] 是可以接入各种聊天工具
[00:00:53] 也就是我们即使出门在外
[00:00:54] 手边没有电脑
[00:00:55] 只需要在聊天工具里面
[00:00:57] 给Clothbolt留个言
[00:00:59] Clothbolt就能自动干活
[00:01:00] 还能把屏幕截图
[00:01:02] 执行过程等信息
[00:01:03] 实施同步过来
[00:01:04] 非常的方便
[00:01:05] 第二个有点是
[00:01:06] Clothbolt自带了强大的定身物系统
[00:01:09] 只需要用自然语言
[00:01:10] 就能创建定身物
[00:01:11] 比如可以创建一个临时的提醒
[00:01:13] 还可以定时检查书件乡
[00:01:15] 通知等等
[00:01:16] 它可以智能的判断
[00:01:17] 事情的紧急程度
[00:01:18] 选择是否用聊天工具
[00:01:20] 跟用户进行沟通
[00:01:21] 比起传统的指令
[00:01:23] 执行指令
[00:01:24] 执行这种固定的流程
[00:01:25] Clothbolt就具有了很强的主观能动性
[00:01:28] 它的第三个有点是具有长期记忆
[00:01:31] 可以把记忆作为文件
[00:01:32] 存储在本地
[00:01:33] 在日常的对话中
[00:01:35] 能够搜索
[00:01:35] 并且把相关的记忆
[00:01:37] 捞回上下温
[00:01:38] 随着日常使用
[00:01:39] 它还会主动去更新这些记忆文件
[00:01:42] 会有一种越用越聪明的感觉
[00:01:44] 好
[00:01:44] 我们现在本地把软件安装一下
[00:01:48] 任意一个能运行怒的JS的环境
[00:01:50] 都可以部署Clothbolt
[00:01:52] 我最推荐就是使用麦克
[00:01:54] 或者Linux系统的家庭服务器
[00:01:56] 现在最火的部署方案是使用麦克米尼
[00:01:59] 麦克米尼的最大好处
[00:02:00] 是麦克系统有不错的桌面环境
[00:02:02] 这样可以很方便的进行截图
[00:02:04] 操作流暖器等等
[00:02:06] 第二点是功耗比较低
[00:02:07] 7×24要使用行比较省电
[00:02:10] 第三个有点是
[00:02:11] Clothbolt里面
[00:02:12] 许多Skills跟麦克生态是绑定的
[00:02:15] 没有麦克电脑的话
[00:02:16] 可以选择Linux操作系统
[00:02:18] 或者在Windows里面创建一个Linux的虚拟机
[00:02:21] 操作部署跟接下来是一样的
[00:02:23] 我选择的安装方式是Node.js
[00:02:25] 我们来到Node.js的官网
[00:02:27] 把第一个命令复制一下
[00:02:28] 然后打开中端执行一下
[00:02:30] 接着是第二个命令
[00:02:32] 第三个命令
[00:02:34] 这样Node.js就安装完成了
[00:02:36] 下一步我们来到Clothbolt的官网
[00:02:39] 在这里有一个遗舰安装命令
[00:02:41] 如果我们使用官网上的遗舰安装命令的话
[00:02:43] 注意要区分现在软件的名字
[00:02:46] 比如现在叫OpenCloth
[00:02:47] 后续所有操作的命令
[00:02:49] 都应该是OpenCloth开头了
[00:02:50] 这里我选择NPM的安装方式
[00:02:52] 我们看到NPM这里
[00:02:54] 命令还是叫Clothbolt
[00:02:56] 所以后续我输入的命令
[00:02:57] 都应该还是Clothbolt开头了
[00:02:59] 这样我把这个命令复制一下
[00:03:01] 沾贴到命令航窗口
[00:03:02] 执行一下
[00:03:03] 安装完成我们输入命令
[00:03:05] Clothbolt onboard来进行出使化
[00:03:07] 第一步先配置AI模型
[00:03:09] 因为我有OpenAI的Plus订阅
[00:03:11] 所以这里我选择OpenAI
[00:03:13] 当然下面也有很多
[00:03:14] 不错的国产模型可以选择
[00:03:16] 视频的后半段
[00:03:17] 我们再来配置使用国产模型
[00:03:19] 选择OpenAI以后再选择
[00:03:21] 第二个
[00:03:36] 我们打开手机上的WhatsApp
[00:03:38] 右上角三个点
[00:03:40] 以关联设备
[00:03:41] 关联新设备
[00:03:42] 扫一下屏幕上的2V码
[00:03:43] 这样就绑定完成
[00:03:45] 接下来选择预装的Skills
[00:03:47] 按空转件打上对供入选中
[00:03:49] 这里可以按续进行选择安装
[00:03:51] 下面的这些EPSK可以全部选择跳过
[00:03:54] 然后AI会询问我们一些关于人设方面的问题
[00:03:57] 我们回答一下
[00:03:58] 这样就配置完成
[00:03:59] 我说你可以给我的聊天工具发一个消息
[00:04:02] 我们看到手机上收到了消息
[00:04:04] 这样就完全配置成功了
[00:04:08] 我们先来介绍几个基础命令的使用
[00:04:10] 输入命令Clothbolt Gateway
[00:04:12] 这个是启动主程序
[00:04:14] 我们可以通过关闭困扰台
[00:04:15] 来停止Clothbolt的运行
[00:04:17] 在Clothbolt后台运行的时候
[00:04:19] 我们可以新开一个窗口
[00:04:21] 输入命令Clothbolt TUI
[00:04:23] 就可以进入这个空转台的对话界面
[00:04:25] 输入命令Clothbolt Dashboard
[00:04:28] 可以进入一个网页版的空转台
[00:04:30] 在这里可以进行基础的对话
[00:04:32] 上面还有很多配置
[00:04:33] 可以管理定身5
[00:04:34] 管理Skills等等
[00:04:36] 输入命令Clothbolt China's Logout
[00:04:38] 可以退出Clothbolt上面登陆过的聊天软件
[00:04:41] 然后我们在输入命令Logging
[00:04:43] 就可以重新登陆一下
[00:04:44] 因为有的聊天软件可能隔几天就会掉线
[00:04:47] 我们可以使用这个命令重新登陆一下
[00:04:49] 我们来看Clothbolt最有意思的一个功能
[00:04:52] 就是它的定身5
[00:04:53] 定身5负语了Clothbolt的一些主观能动性
[00:04:56] 让它变得更像一个智能的AA住手
[00:04:59] 比如我输入这个命令
[00:05:00] 提醒我两分钟以后关没气
[00:05:02] Clothbolt回复我好的已经设定成功了
[00:05:05] 我们可以在网页版的空转台
[00:05:07] Clothbolt也就是定身5这个选项卡
[00:05:09] 可以看到Clothbolt为我们设定的定身5
[00:05:12] 这里显示两分钟后执行
[00:05:14] 两分钟以后它就把这个消息
[00:05:16] 推送到了手机上提醒我去关没气
[00:05:18] Clothbolt具有操作流览器的能力
[00:05:21] 我们需要现在麦克里面下载一个Chrome流览器
[00:05:24] 我要求Clothbolt去MIT公开课
[00:05:27] 下载Pyson课程的课件放到我的桌面
[00:05:29] 我们看到Clothbolt自动打开了麦克里面的Chrome流览器
[00:05:33] 找到了MIT公开课的官网并且搜索Pyson
[00:05:36] 它找到了几门Pyson课程
[00:05:38] 回复了我课程的编号让我选择
[00:05:41] 这里我选择第一个
[00:05:42] 它又在流览器里面通过课程编号找到了这门课
[00:05:45] 并且下载到了桌面
[00:05:47] 然后我要求它把它解压出来
[00:05:49] 它掉用了麦克里面
[00:05:50] 的命令行工具完成了解压
[00:05:52] 然后我要求他把第一节课的课件发给我
[00:05:54] 这里KlaudeBalt成功找到了课件
[00:05:57] 并且完成了发送效果不错
[00:05:59] 接下来我们来看一个把刘兰气自动画
[00:06:01] 跟定身物组合起来的案例
[00:06:03] 爬爬下作为一个科技软件类的博主
[00:06:05] 需要经常查看Github的热点
[00:06:07] 这里我告诉KlaudeBalt让他查月一下
[00:06:10] Github上面的热点
[00:06:11] 然后做个中文简报发送给我
[00:06:13] KlaudeBalt生成了中文简报
[00:06:15] 接下来我说每天早上8点
[00:06:17] 你都做这么一个简报发送给我
[00:06:19] 接下来KlaudeBalt生成了一个定身物
